contractId,stockSymbol,buyerMemberId,sellerMemberId,contractQuantity,contractRate,contractAmount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,tradeTime,securityName
2026090704010512,HURJA,58,63,10,233.5,2335.0,2026-09-07,198332849,2824,Naasa Securities Co. Ltd.,Himalayan Brokerage Company Limited,2026-09-07T14:59:59.979464,Himalaya Urja Bikas Company Limited
2026090704010511,BHCL,56,62,11,542.9,5971.9,2026-09-07,198332846,9267,Sri Hari Securities Pvt. Ltd.,Capital Max Securities Ltd,2026-09-07T14:59:59.93889,Bikash Hydropower Company Limited
2026090703019803,MNBBL,19,35,39,346.0,13494.0,2026-09-07,198332839,474,Nepal Investment And Securities Trading Private Limited,Kohinoor Investment & Securities Pvt. Ltd.,2026-09-07T14:59:59.896853,Muktinath Bikas Bank Ltd.
2026090701009439,PRVU,42,16,470,180.0,84600.0,2026-09-07,198332831,255,Sani Securities Company Ltd.,Primo Securities (PVT) Ltd.,2026-09-07T14:59:59.896484,Prabhu  Bank Limited
2026090703019802,MNBBL,38,35,111,346.2,38428.2,2026-09-07,198332838,474,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-09-07T14:59:59.896405,Muktinath Bikas Bank Ltd.
2026090703019801,MPFL,35,4,10,595.0,5950.0,2026-09-07,198332829,471,Kohinoor Investment & Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,2026-09-07T14:59:59.88432,Multipurpose Finance Company  Limited
2026090704010510,RHPL,44,50,55,170.2,9361.0,2026-09-07,198332823,2841,Dynamic Money Managers Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-09-07T14:59:59.860345,RASUWAGADHI HYDROPOWER COMPANY LIMITED
2026090703019800,SLBSL,25,74,10,899.0,8990.0,2026-09-07,198332822,2804,Sweta Securities Private Limited,KALASH STOCK MARKET PVT. LTD.,2026-09-07T14:59:59.831488,Samudayik Laghubitta Bittiya Sanstha Limited
2026090701009438,NBL,46,58,10,279.0,2790.0,2026-09-07,198332818,517,Kalika Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-09-07T14:59:59.823801,Nepal Bank Limited
2026090703019799,FOWAD,41,62,100,880.0,88000.0,2026-09-07,198332812,2758,Linch Stock Market Ltd.,Capital Max Securities Ltd,2026-09-07T14:59:59.75609,Forward Microfinance Laghubitta Bittiya Sanstha Limited
2026090704010509,KKHC,48,18,10,267.9,2679.0,2026-09-07,198332810,2751,Trishakti Securities Public Limited,Sagarmatha Securities Private Limited,2026-09-07T14:59:59.714101,Khanikhola Hydropower Co. Ltd.
2026090704010508,RIDI,5,16,30,347.7,10431.0,2026-09-07,198332804,610,Market Securities & Exchange (PVT) Ltd.,Primo Securities (PVT) Ltd.,2026-09-07T14:59:59.647921,Ridi Power Company Limited
2026090703019798,CFCL,74,81,10,595.0,5950.0,2026-09-07,198332802,245,KALASH STOCK MARKET PVT. LTD.,Aakashbhairab Securities Ltd.,2026-09-07T14:59:59.635569,Central Finance Co. Ltd.
2026090701009437,MEPDL,1,42,10,644.0,6440.0,2026-09-07,198332799,9352,Kumari Securities Private Limited,Sani Securities Company Ltd.,2026-09-07T14:59:59.63376,Mount Everest Power Development Limited
2026090701009436,MEPDL,1,58,10,643.7,6437.0,2026-09-07,198332791,9352,Kumari Securities Private Limited,Naasa Securities Co. Ltd.,2026-09-07T14:59:59.633511,Mount Everest Power Development Limited
2026090703019797,FMDBL,57,8,10,739.8,7398.0,2026-09-07,198332790,490,Aryatara Investment & Securities,Brilliant Securities Pvt. Ltd.,2026-09-07T14:59:59.624585,First Micro Finance Laghubitta Bittiya Sanstha Limited
2026090703019796,HLI,19,51,200,296.6,59320.0,2026-09-07,198332785,393,Nepal Investment And Securities Trading Private Limited,Oxford Securities Pvt. Ltd.,2026-09-07T14:59:59.583264,Himalayan Life Insurance Limited
2026090703019795,SAPDBL,17,51,15,682.0,10230.0,2026-09-07,198332782,2860,ABC Securities Private Limited,Oxford Securities Pvt. Ltd.,2026-09-07T14:59:59.571229,Saptakoshi Development Bank Ltd
2026090703019794,SAPDBL,17,74,10,682.0,6820.0,2026-09-07,198332776,2860,ABC Securities Private Limited,KALASH STOCK MARKET PVT. LTD.,2026-09-07T14:59:59.571184,Saptakoshi Development Bank Ltd
2026090703019793,GRDBL,96,34,190,962.0,182780.0,2026-09-07,198332772,2744,Himalayan Securities Limited,Vision Securities Pvt. Ltd,2026-09-07T14:59:59.511186,Green Development Bank Ltd.
2026090701009435,SAPIL,95,91,10,1245.0,12450.0,2026-09-07,198332769,9353,Magnet Securities and Investment Company Private Limited,Citizens Share Broker Limited,2026-09-07T14:59:59.47659,Sarvottam Paints Industries Limited
2026090704010507,BHCL,17,56,11,543.0,5973.0,2026-09-07,198332766,9267,ABC Securities Private Limited,Sri Hari Securities Pvt. Ltd.,2026-09-07T14:59:59.470679,Bikash Hydropower Company Limited
2026090703019792,RSML,76,52,10,2940.0,29400.0,2026-09-07,198332761,9306,Machhapuchchhre Securities Limited,Sundhara Securities Limited,2026-09-07T14:59:59.440028,Reliance Spinning Mills Limited
2026090703019791,RSML,76,51,40,2924.0,116960.0,2026-09-07,198332756,9306,Machhapuchchhre Securities Limited,Oxford Securities Pvt. Ltd.,2026-09-07T14:59:59.439986,Reliance Spinning Mills Limited
2026090703019790,SAPDBL,86,74,10,682.0,6820.0,2026-09-07,198332753,2860,Stoxkarts Securities Limited,KALASH STOCK MARKET PVT. LTD.,2026-09-07T14:59:59.408253,Saptakoshi Development Bank Ltd
2026090703019789,SOHL,76,16,30,654.0,19620.0,2026-09-07,198332750,9311,Machhapuchchhre Securities Limited,Primo Securities (PVT) Ltd.,2026-09-07T14:59:59.401961,Solu Hydropower Limited
2026090705011090,DORDI,35,75,10,240.0,2400.0,2026-09-07,198332746,8070,Kohinoor Investment & Securities Pvt. Ltd.,N.I.M.B. Stock Markets Limited,2026-09-07T14:59:59.394819,Dordi Khola Jal Bidyut Company Limited
2026090704010506,SALICO,1,26,10,527.5,5275.0,2026-09-07,198332742,185,Kumari Securities Private Limited,Asian Securities Private Ltd.,2026-09-07T14:59:59.371167,Sagarmatha Lumbini Insurance Co. Limited
2026090701009434,SARBTM,74,45,10,797.0,7970.0,2026-09-07,198332737,9242,KALASH STOCK MARKET PVT. LTD.,Imperial Securities Company Pvt. Ltd.,2026-09-07T14:59:59.3683,Sarbottam Cement Limited
2026090704010505,SHPC,42,34,10,509.8,5098.0,2026-09-07,198332734,591,Sani Securities Company Ltd.,Vision Securities Pvt. Ltd,2026-09-07T14:59:59.347582,Sanima Mai Hydropower Ltd.
2026090704010504,HPPL,48,35,335,370.5,124117.5,2026-09-07,198332729,2767,Trishakti Securities Public Limited,Kohinoor Investment & Securities Pvt. Ltd.,2026-09-07T14:59:59.31919,Himalayan Power Partner Ltd.
2026090704010503,HPPL,48,41,100,370.0,37000.0,2026-09-07,198332724,2767,Trishakti Securities Public Limited,Linch Stock Market Ltd.,2026-09-07T14:59:59.31916,Himalayan Power Partner Ltd.
2026090704010502,HPPL,48,17,305,370.0,112850.0,2026-09-07,198332720,2767,Trishakti Securities Public Limited,ABC Securities Private Limited,2026-09-07T14:59:59.319132,Himalayan Power Partner Ltd.
2026090704010501,HPPL,48,44,100,370.0,37000.0,2026-09-07,198332716,2767,Trishakti Securities Public Limited,Dynamic Money Managers Securities Pvt. Ltd.,2026-09-07T14:59:59.319105,Himalayan Power Partner Ltd.
2026090704010500,HPPL,48,59,300,370.0,111000.0,2026-09-07,198332712,2767,Trishakti Securities Public Limited,Deevyaa Securities & Stock House Pvt. Ltd,2026-09-07T14:59:59.319077,Himalayan Power Partner Ltd.
2026090704010499,HPPL,48,64,70,370.0,25900.0,2026-09-07,198332708,2767,Trishakti Securities Public Limited,SUN SECURITIES PVT LTD,2026-09-07T14:59:59.319047,Himalayan Power Partner Ltd.
2026090704010498,HPPL,48,74,10,370.0,3700.0,2026-09-07,198332704,2767,Trishakti Securities Public Limited,KALASH STOCK MARKET PVT. LTD.,2026-09-07T14:59:59.319006,Himalayan Power Partner Ltd.
2026090704010497,HPPL,48,38,100,370.0,37000.0,2026-09-07,198332700,2767,Trishakti Securities Public Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-09-07T14:59:59.31897,Himalayan Power Partner Ltd.
2026090704010496,HPPL,48,17,180,369.9,66582.0,2026-09-07,198332696,2767,Trishakti Securities Public Limited,ABC Securities Private Limited,2026-09-07T14:59:59.318923,Himalayan Power Partner Ltd.
2026090704010495,JOSHI,58,25,10,261.5,2615.0,2026-09-07,198332694,2789,Naasa Securities Co. Ltd.,Sweta Securities Private Limited,2026-09-07T14:59:59.318461,Joshi Hydropower Development Company Ltd
2026090703019788,GMFBS,35,10,10,1145.0,11450.0,2026-09-07,198332692,2815,Kohinoor Investment & Securities Pvt. Ltd.,Pragyan Securities (PVT) Ltd.,2026-09-07T14:59:59.31425,Ganapati Laghubitta Bittiya Sanstha Limited
2026090703019787,SIPD,44,95,100,591.1,59110.0,2026-09-07,198332689,9329,Dynamic Money Managers Securities Pvt. Ltd.,Magnet Securities and Investment Company Private Limited,2026-09-07T14:59:59.279803,Shikhar power Development Limited
2026090703019786,SIPD,58,95,40,592.0,23680.0,2026-09-07,198332688,9329,Naasa Securities Co. Ltd.,Magnet Securities and Investment Company Private Limited,2026-09-07T14:59:59.279762,Shikhar power Development Limited
2026090704010494,MHNL,49,38,10,242.0,2420.0,2026-09-07,198332687,2811,Online Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-09-07T14:59:59.27943,Mountain Hydro Nepal Limited
2026090701009433,NABIL,16,58,73,552.5,40332.5,2026-09-07,198332684,131,Primo Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-09-07T14:59:59.27279,Nabil Bank Limited
2026090703019785,KAHL,72,74,10,493.0,4930.0,2026-09-07,198332682,9346,Hatemalo Financial Services Private Limited,KALASH STOCK MARKET PVT. LTD.,2026-09-07T14:59:59.240597,Kalanga Hydro Limited
2026090703019784,RSML,92,59,20,2910.3,58206.0,2026-09-07,198332679,9306,Roadshow securities limited,Deevyaa Securities & Stock House Pvt. Ltd,2026-09-07T14:59:59.225578,Reliance Spinning Mills Limited
2026090701009432,LSL,62,53,10,225.0,2250.0,2026-09-07,198332678,141,Capital Max Securities Ltd,Investment Management Nepal Pvt. Ltd.,2026-09-07T14:59:59.177218,Laxmi Sunrise Bank Limited
2026090705011089,NRN,50,21,10,1400.0,14000.0,2026-09-07,198332676,2898,Cristal Kanchanjanga Securites Pvt. Ltd.,Midas Stock Broking Company Private Limited,2026-09-07T14:59:59.163895,NRN Infrastructure and Development Limited
2026090705011088,MEHL,29,95,1000,228.0,228000.0,2026-09-07,198332673,9203,Trisul Securities & Invt. Ltd.,Magnet Securities and Investment Company Private Limited,2026-09-07T14:59:59.133231,Manakamana Engineering Hydropower Limited
2026090703019783,SNORL,52,49,10,878.0,8780.0,2026-09-07,198332672,9344,Sundhara Securities Limited,Online Securities Pvt. Ltd.,2026-09-07T14:59:59.116313,Snow Rivers Limited
2026090703019782,RSML,77,51,10,2924.0,29240.0,2026-09-07,198332670,9306,Nabil Stock Dealer Ltd.,Oxford Securities Pvt. Ltd.,2026-09-07T14:59:59.059674,Reliance Spinning Mills Limited
2026090704010493,RHPL,16,18,881,170.1,149858.1,2026-09-07,198332667,2841,Primo Securities (PVT) Ltd.,Sagarmatha Securities Private Limited,2026-09-07T14:59:59.055918,RASUWAGADHI HYDROPOWER COMPANY LIMITED
2026090704010492,RHPL,58,18,119,170.1,20241.9,2026-09-07,198332666,2841,Naasa Securities Co. Ltd.,Sagarmatha Securities Private Limited,2026-09-07T14:59:59.055654,RASUWAGADHI HYDROPOWER COMPANY LIMITED
2026090704010491,HDHPC,33,45,190,200.8,38152.0,2026-09-07,198332664,2880,Dakshinkali Investment & Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-09-07T14:59:59.031562,Himal Dolakha Hydropower Company Limited
2026090704010490,RIDI,26,16,220,347.7,76494.0,2026-09-07,198332940,610,Asian Securities Private Ltd.,Primo Securities (PVT) Ltd.,2026-09-07T14:59:59.002768,Ridi Power Company Limited
2026090704010489,RIDI,26,26,680,347.5,236300.0,2026-09-07,198332937,610,Asian Securities Private Ltd.,Asian Securities Private Ltd.,2026-09-07T14:59:59.002656,Ridi Power Company Limited
2026090704010488,RIDI,26,91,1000,347.4,347400.0,2026-09-07,198332935,610,Asian Securities Private Ltd.,Citizens Share Broker Limited,2026-09-07T14:59:59.00253,Ridi Power Company Limited
2026090704010487,RIDI,26,48,100,347.0,34700.0,2026-09-07,198332933,610,Asian Securities Private Ltd.,Trishakti Securities Public Limited,2026-09-07T14:59:59.002191,Ridi Power Company Limited
2026090703019781,SOPL,36,49,10,738.0,7380.0,2026-09-07,198332931,9336,Secured Securities Ltd.,Online Securities Pvt. Ltd.,2026-09-07T14:59:58.981595,Sopan Pharmaceuticals Limited
2026090701009431,HBL,56,45,131,189.0,24759.0,2026-09-07,198332930,134,Sri Hari Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-09-07T14:59:58.926599,Himalayan Bank Limited
2026090701009430,HBL,56,11,10,188.9,1889.0,2026-09-07,198332927,134,Sri Hari Securities Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,2026-09-07T14:59:58.926576,Himalayan Bank Limited
2026090701009429,HBL,56,42,10,188.9,1889.0,2026-09-07,198332925,134,Sri Hari Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-09-07T14:59:58.926554,Himalayan Bank Limited
2026090701009428,HBL,56,58,10,188.0,1880.0,2026-09-07,198332923,134,Sri Hari Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-09-07T14:59:58.926528,Himalayan Bank Limited
2026090701009427,HBL,56,57,100,188.0,18800.0,2026-09-07,198332921,134,Sri Hari Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-09-07T14:59:58.926502,Himalayan Bank Limited
2026090701009426,HBL,56,52,10,188.0,1880.0,2026-09-07,198332919,134,Sri Hari Securities Pvt. Ltd.,Sundhara Securities Limited,2026-09-07T14:59:58.926479,Himalayan Bank Limited
2026090701009425,HBL,56,11,50,188.0,9400.0,2026-09-07,198332917,134,Sri Hari Securities Pvt. Ltd.,Malla & Malla Stock Broking Company Pvt. Limited,2026-09-07T14:59:58.926448,Himalayan Bank Limited
2026090701009424,HBL,56,42,10,188.0,1880.0,2026-09-07,198332915,134,Sri Hari Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-09-07T14:59:58.926423,Himalayan Bank Limited
2026090701009423,HBL,56,14,10,188.0,1880.0,2026-09-07,198332913,134,Sri Hari Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2026-09-07T14:59:58.926396,Himalayan Bank Limited
2026090701009422,HBL,56,6,10,188.0,1880.0,2026-09-07,198332911,134,Sri Hari Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-09-07T14:59:58.926371,Himalayan Bank Limited
2026090701009421,HBL,56,17,170,187.9,31943.0,2026-09-07,198332909,134,Sri Hari Securities Pvt. Ltd.,ABC Securities Private Limited,2026-09-07T14:59:58.92632,Himalayan Bank Limited
2026090701009420,HBL,56,58,20,187.6,3752.0,2026-09-07,198332907,134,Sri Hari Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-09-07T14:59:58.926291,Himalayan Bank Limited
2026090701009419,HBL,56,58,459,186.0,85374.0,2026-09-07,198332905,134,Sri Hari Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-09-07T14:59:58.926247,Himalayan Bank Limited
2026090705011087,NRIC,14,25,19,805.0,15295.0,2026-09-07,198332904,2881,Nepal Stock House (PVT) Ltd.,Sweta Securities Private Limited,2026-09-07T14:59:58.922434,Nepal Reinsurance Company Limited
2026090705011086,NRIC,14,62,51,800.2,40810.2,2026-09-07,198332901,2881,Nepal Stock House (PVT) Ltd.,Capital Max Securities Ltd,2026-09-07T14:59:58.922187,Nepal Reinsurance Company Limited
2026090705011085,SMJC,10,64,10,403.0,4030.0,2026-09-07,198332900,9159,Pragyan Securities (PVT) Ltd.,SUN SECURITIES PVT LTD,2026-09-07T14:59:58.920992,Sagarmatha Jalabidhyut Company Limited
2026090703019780,YMHL,58,45,10,560.0,5600.0,2026-09-07,198332898,9342,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-09-07T14:59:58.917445,Yambaling Hydropower Limited
2026090703019779,YMHL,58,58,10,560.0,5600.0,2026-09-07,198332895,9342,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2026-09-07T14:59:58.917406,Yambaling Hydropower Limited
2026090704010486,NICL,28,51,10,436.9,4369.0,2026-09-07,198332894,176,Shree Krishna Securities Ltd.,Oxford Securities Pvt. Ltd.,2026-09-07T14:59:58.88219,Nepal Insurance Co. Ltd.
2026090704010485,NICL,28,77,135,435.0,58725.0,2026-09-07,198332891,176,Shree Krishna Securities Ltd.,Nabil Stock Dealer Ltd.,2026-09-07T14:59:58.882125,Nepal Insurance Co. Ltd.
2026090703019778,SKHEL,45,57,20,830.0,16600.0,2026-09-07,198332890,9325,Imperial Securities Company Pvt. Ltd.,Aryatara Investment & Securities,2026-09-07T14:59:58.875233,Suryakunda Hydro Electric Limited
2026090703019777,SOHL,21,16,10,654.0,6540.0,2026-09-07,198332888,9311,Midas Stock Broking Company Private Limited,Primo Securities (PVT) Ltd.,2026-09-07T14:59:58.861229,Solu Hydropower Limited
2026090701009418,MKCL,36,25,10,911.0,9110.0,2026-09-07,198332886,9230,Secured Securities Ltd.,Sweta Securities Private Limited,2026-09-07T14:59:58.822174,Muktinath Krishi Company Limited
2026090701009417,SANIMA,58,19,1279,365.0,466835.0,2026-09-07,198332884,171,Naasa Securities Co. Ltd.,Nepal Investment And Securities Trading Private Limited,2026-09-07T14:59:58.821896,Sanima Bank Limited
2026090701009416,SANIMA,58,51,200,365.0,73000.0,2026-09-07,198332881,171,Naasa Securities Co. Ltd.,Oxford Securities Pvt. Ltd.,2026-09-07T14:59:58.821811,Sanima Bank Limited
2026090701009415,SANIMA,58,48,400,365.0,146000.0,2026-09-07,198332879,171,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,2026-09-07T14:59:58.821715,Sanima Bank Limited
2026090701009414,SANIMA,58,38,100,364.9,36490.0,2026-09-07,198332877,171,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-09-07T14:59:58.821609,Sanima Bank Limited
2026090701009413,SANIMA,58,35,21,364.9,7662.9,2026-09-07,198332874,171,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-09-07T14:59:58.821398,Sanima Bank Limited
2026090705011084,GCIL,34,42,100,378.5,37850.0,2026-09-07,198332873,9193,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,2026-09-07T14:59:58.820667,Ghorahi Cement Industry Limited
2026090703019776,CFCL,91,74,10,598.0,5980.0,2026-09-07,198332872,245,Citizens Share Broker Limited,KALASH STOCK MARKET PVT. LTD.,2026-09-07T14:59:58.819539,Central Finance Co. Ltd.
2026090704010484,BANDIPUR,48,38,10,645.9,6459.0,2026-09-07,198332870,9297,Trishakti Securities Public Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-09-07T14:59:58.813843,Bandipur Cablecar and Tourism Limited
2026090701009412,NIMB,22,52,10,183.8,1838.0,2026-09-07,198332868,132,Siprabi Securities Pvt. Ltd.,Sundhara Securities Limited,2026-09-07T14:59:58.813147,Nepal Investment Mega Bank Limited
2026090701009411,SAPIL,1,91,10,1245.0,12450.0,2026-09-07,198332866,9353,Kumari Securities Private Limited,Citizens Share Broker Limited,2026-09-07T14:59:58.77829,Sarvottam Paints Industries Limited
2026090704010483,KKHC,84,18,50,267.9,13395.0,2026-09-07,198332864,2751,MILKY WAY SHARE BROKER COMPANY LTD ,Sagarmatha Securities Private Limited,2026-09-07T14:59:58.756791,Khanikhola Hydropower Co. Ltd.
2026090703019775,YMHL,43,62,10,560.0,5600.0,2026-09-07,198332862,9342,South Asian Bulls Pvt. Ltd.,Capital Max Securities Ltd,2026-09-07T14:59:58.754637,Yambaling Hydropower Limited
2026090704010482,NESDO,50,38,11,1320.0,14520.0,2026-09-07,198332811,8041,Cristal Kanchanjanga Securites Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-09-07T14:59:58.716449,NESDO Sambridha Laghubitta Bittiya Sanstha Limited
2026090703019774,SAPDBL,80,58,10,681.0,6810.0,2026-09-07,198332859,2860,Indira securities pvt. ltd,Naasa Securities Co. Ltd.,2026-09-07T14:59:58.704791,Saptakoshi Development Bank Ltd
2026090703019773,CFCL,41,74,610,598.0,364780.0,2026-09-07,198332858,245,Linch Stock Market Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-09-07T14:59:58.70182,Central Finance Co. Ltd.
2026090703019772,CFCL,41,58,50,598.0,29900.0,2026-09-07,198332855,245,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,2026-09-07T14:59:58.701794,Central Finance Co. Ltd.
2026090703019771,CFCL,41,56,100,598.0,59800.0,2026-09-07,198332853,245,Linch Stock Market Ltd.,Sri Hari Securities Pvt. Ltd.,2026-09-07T14:59:58.701767,Central Finance Co. Ltd.
2026090703019770,CFCL,41,21,400,597.7,239080.0,2026-09-07,198332851,245,Linch Stock Market Ltd.,Midas Stock Broking Company Private Limited,2026-09-07T14:59:58.701739,Central Finance Co. Ltd.
2026090703019769,CFCL,41,86,1000,597.5,597500.0,2026-09-07,198332848,245,Linch Stock Market Ltd.,Stoxkarts Securities Limited,2026-09-07T14:59:58.701711,Central Finance Co. Ltd.
2026090703019768,CFCL,41,48,1000,597.4,597400.0,2026-09-07,198332844,245,Linch Stock Market Ltd.,Trishakti Securities Public Limited,2026-09-07T14:59:58.701687,Central Finance Co. Ltd.
2026090703019767,CFCL,41,65,500,597.4,298700.0,2026-09-07,198332840,245,Linch Stock Market Ltd.,Sharepro Securities Private Limited,2026-09-07T14:59:58.701652,Central Finance Co. Ltd.
2026090703019766,CFCL,41,34,100,597.4,59740.0,2026-09-07,198332835,245,Linch Stock Market Ltd.,Vision Securities Pvt. Ltd,2026-09-07T14:59:58.701627,Central Finance Co. Ltd.
2026090703019765,CFCL,41,48,100,597.3,59730.0,2026-09-07,198332832,245,Linch Stock Market Ltd.,Trishakti Securities Public Limited,2026-09-07T14:59:58.701602,Central Finance Co. Ltd.
2026090703019764,CFCL,41,42,200,597.0,119400.0,2026-09-07,198332827,245,Linch Stock Market Ltd.,Sani Securities Company Ltd.,2026-09-07T14:59:58.701576,Central Finance Co. Ltd.
2026090703019763,CFCL,41,13,100,597.0,59700.0,2026-09-07,198332824,245,Linch Stock Market Ltd.,Thrive Brokerage House Pvt. Ltd,2026-09-07T14:59:58.701544,Central Finance Co. Ltd.
2026090703019762,CFCL,41,58,85,597.0,50745.0,2026-09-07,198332819,245,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,2026-09-07T14:59:58.701517,Central Finance Co. Ltd.
2026090703019761,CFCL,41,40,155,597.0,92535.0,2026-09-07,198332815,245,Linch Stock Market Ltd.,Creative Securities Pvt Ltd,2026-09-07T14:59:58.701487,Central Finance Co. Ltd.
2026090703019760,CFCL,41,8,250,596.9,149225.0,2026-09-07,198332809,245,Linch Stock Market Ltd.,Brilliant Securities Pvt. Ltd.,2026-09-07T14:59:58.701458,Central Finance Co. Ltd.
2026090703019759,CFCL,41,8,2900,596.8,1730720.0,2026-09-07,198332803,245,Linch Stock Market Ltd.,Brilliant Securities Pvt. Ltd.,2026-09-07T14:59:58.701434,Central Finance Co. Ltd.
2026090703019758,CFCL,41,20,1000,596.7,596700.0,2026-09-07,198332800,245,Linch Stock Market Ltd.,Sipla Securities Private Limited,2026-09-07T14:59:58.70141,Central Finance Co. Ltd.
2026090703019757,CFCL,41,58,200,596.3,119260.0,2026-09-07,198332796,245,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,2026-09-07T14:59:58.701389,Central Finance Co. Ltd.
2026090703019756,CFCL,41,58,85,596.0,50660.0,2026-09-07,198332792,245,Linch Stock Market Ltd.,Naasa Securities Co. Ltd.,2026-09-07T14:59:58.701366,Central Finance Co. Ltd.
2026090703019755,CFCL,41,21,500,596.0,298000.0,2026-09-07,198332788,245,Linch Stock Market Ltd.,Midas Stock Broking Company Private Limited,2026-09-07T14:59:58.701345,Central Finance Co. Ltd.
2026090703019754,CFCL,41,70,100,596.0,59600.0,2026-09-07,198332784,245,Linch Stock Market Ltd.,Infinity Securities Limited,2026-09-07T14:59:58.70132,Central Finance Co. Ltd.
2026090703019753,CFCL,41,70,500,596.0,298000.0,2026-09-07,198332780,245,Linch Stock Market Ltd.,Infinity Securities Limited,2026-09-07T14:59:58.701291,Central Finance Co. Ltd.
2026090703019752,CFCL,41,45,200,596.0,119200.0,2026-09-07,198332775,245,Linch Stock Market Ltd.,Imperial Securities Company Pvt. Ltd.,2026-09-07T14:59:58.701267,Central Finance Co. Ltd.
2026090703019751,CFCL,41,49,225,595.5,133987.5,2026-09-07,198332771,245,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,2026-09-07T14:59:58.701233,Central Finance Co. Ltd.
2026090703019750,CFCL,41,49,500,595.1,297550.0,2026-09-07,198332768,245,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,2026-09-07T14:59:58.701199,Central Finance Co. Ltd.
2026090703019749,CFCL,41,70,140,595.0,83300.0,2026-09-07,198332763,245,Linch Stock Market Ltd.,Infinity Securities Limited,2026-09-07T14:59:58.701161,Central Finance Co. Ltd.
2026090703019748,BFC,74,57,10,450.0,4500.0,2026-09-07,198332762,227,KALASH STOCK MARKET PVT. LTD.,Aryatara Investment & Securities,2026-09-07T14:59:58.690885,Best Finance Company Ltd.
2026090703019747,BJHL,60,39,10,653.0,6530.0,2026-09-07,198332757,9322,Nagarik Stock Dealer ,Sumeru Securities Pvt. Ltd.,2026-09-07T14:59:58.68656,Bhujung Hydropower Limited
2026090703019746,BJHL,60,39,30,652.0,19560.0,2026-09-07,198332752,9322,Nagarik Stock Dealer ,Sumeru Securities Pvt. Ltd.,2026-09-07T14:59:58.686516,Bhujung Hydropower Limited
2026090704010481,UMHL,13,91,10,553.9,5539.0,2026-09-07,198332749,2760,Thrive Brokerage House Pvt. Ltd,Citizens Share Broker Limited,2026-09-07T14:59:58.683366,United Modi Hydropower Ltd.
2026090703019745,CFCL,41,70,10,595.0,5950.0,2026-09-07,198332745,245,Linch Stock Market Ltd.,Infinity Securities Limited,2026-09-07T14:59:58.658361,Central Finance Co. Ltd.
2026090704010480,HEI,72,51,10,469.9,4699.0,2026-09-07,198332717,179,Hatemalo Financial Services Private Limited,Oxford Securities Pvt. Ltd.,2026-09-07T14:59:58.623718,Himalayan Everest Insurance Limited
2026090703019744,SGHL,32,62,223,499.3,111343.9,2026-09-07,198332741,9345,Premier Securities Company Ltd.,Capital Max Securities Ltd,2026-09-07T14:59:58.621329,Sanigad Hydro Limited
2026090703019743,SGHL,32,42,50,499.0,24950.0,2026-09-07,198332735,9345,Premier Securities Company Ltd.,Sani Securities Company Ltd.,2026-09-07T14:59:58.621301,Sanigad Hydro Limited
2026090703019742,SGHL,32,14,10,499.0,4990.0,2026-09-07,198332732,9345,Premier Securities Company Ltd.,Nepal Stock House (PVT) Ltd.,2026-09-07T14:59:58.621274,Sanigad Hydro Limited
